ParticipantId	SampleCode	contdag	gesl2	LFTB	pershuis	Lftpershuis1	Lftpershuis2	Lftpershuis3	Lftpershuis4	Lftpershuis5	Lftpershuis6	Lftpershuis7	Lftpershuis8	Lftpershuis9	Lftpershuis10	contpers0tot9	contpers10tot19	contpers20tot29	contpers30tot39	contpers40tot49	contpers50tot59	contpers60tot69	contpers70tot79	contpers80tot89	contpers90plus	contpers0tot4	contpers5tot9	pershuisv2
6804	13602256	1	2	46	4	18	20	46	49									2		2	1							4
6805	13602192	7	2	46	5	9	13	15	43							2				2	1	1	1			1	1	5
6806	13602183	4	1	46	4	13	18	37	46											4								4
6807	13602413	5	1	46	4	12	15	45									2	3	2	1	2							4
6808	13602234	2	1	46	4	11	15	45									10	15										4
6811	13602179	5	2	47	2	47	51									2	2	1	2	1						1	1	2
6815	13602274	3	2	48	4	18	20	49											10									4
6818	13602267	5	1	49	5	12	16	19	47	49							2	3	6	2	2							5
6820	13602142	7	2	49	1											6			15	15	15	20	20			3	3	1
6822	13602241	1	2	50	3	12	43												2	3	6							3
6823		7	2	51	3	22	50										1	2	2	2	1							3
6824	13602412	6	1	51	4	8	15	46								1	1			1							1	4
6825	13602173	5	2	51	3	17	27										1	1	5	1								3
6827	13602251	3	2	52	2	52	53											2			1							2
6828	13602245	1	2	52	2	54												1	3	1	1							2
6830	13602266	7	2	52	4	13	18	51									3	1		2								4
6831	13602189	6	2	52	3	20	52	56									1	2			3		1					3
6834	13602244	4	1	54	3	24	51											2		2								3
6835	13602207	7	1	54	2	51												1	2									2
6837		6	2	54	2	55												6		2	2		2	1				2
6838	13602191	6	2	54	4	21	25	58																				4
6840		1	1	54	3	25	54	54								1		2	1		1			1			1	3
6841		3	2	54	3	25	54	54								1		1	1				1	1			1	3
6842	13602242	2	1	55	1													1			1							1
6845	13602199	1	2	55	2	55	59											1				2						2
6846	13602182	7	1	55	3	21	53	55										1			1							3
6847	13602193	3	2	56	1																							1
6849	13602175	3	2	56	2	62										5			4		1					2	3	2
6850	13602411	3	1	56	2	53												3	2	10	7							2
6851	13602409	6	2	57	2	60												2	1									2
6853	13602243	2	1	58	3	27	51	58										3	4	8	10	5	2					3
6855	13602263	7	1	58	2	57																		1				2
6856	13602178	6	2	59	2																							2
6857		2	2	59	1													3		1	1	1			1			1
6858	13602406	6	1	59	2	54										1			2		3					1		2
6859	13602185	5	1	59	2	58										2					3	6				1	1	2
6860	13602270	2	2	59	4	23	27	65										3		1	3	1						4
6861	13602248		2	59	2	62																						2
6866	13602414	2	2	60	2	60	61														10	10						2
6867	13602235	6	2	60		60	64																					2
6872	13602162	3	1	62	2	56										5			4		2					2	3	2
6873	13602218	2	2	62	2	62	80										3				2			1				2
6874	13602146	2	1	62	2	61													1		1							2
6875	13602145	1	2	63	2	64													1			1		1				2
6878	13602159	3	1	63	2	60															1							2
6879	13602169	7	2	63	2	63	64															1						2
6880	13602165	6	1	64	2	85												3			1			2				2
6881	13602143	1	1	64	2	71										2	3		4		2					1	1	2
6884	13602155	7	1	66	2	60										1	4				1	1	1					2
6885	13602149	1	1	66	2	64																2	2					2
6887	13602153	6	1	67	2	66	67									2	2	1	1	1	1	2	1			1	1	2
6889	13602144	7	2	67	2	71										3	1		1	2						1	2	2
6892	13602141		1	67	2	87																						2
6895	13602238	2	1	68	2	60																2	3	1	1			2
6898	13602167	1	1	68	1														1		2		2	1				1
6900	13602158	6	2	68	2	69												1	1		1							2
6901		5	1	69	1																	1						1
6903	13602417	7	2	70	2	72															2	1						2
6904	13602209	2	1	70	2	69	70									2	3		2							1	1	2
6906			2	70	1																							1
6907	13602232	6	1	71	2	61													1	1		2						2
6911	13602151	1	2	71	1												1			1		1						1
6912	13602163		1	72	2	70																						2
6914	13602166	6	1	72	3	24	51	72														1			1			3
6918	13602157	7	1	73	2	70										3	1		2	2	10	7	2			2	1	2
6919	13602227	1	2	73	2	73	76									1			2				1			1		2
6922	13602150	2	2	75	1												1		1			2	1					1
6928	13602236	5	2	76	1													1					2					1
6931	13602237	1	1	77	2	76													1	1	1				1			2
6943	13602287	3	1	-0	5	0	2	37	39								1	1		1	2							5
6944	13602286	3	2	-0	5	0	2	37	39								1	1		1	2							5
6945			2	-0	3	0	26	27																				3
6946		3	1	-0	5	0	2	5	27	36						2			2							1	1	5
6953	13602421	2	2	0	3	0	29	36										1	1			2						3
6954		1	1	0	6	0	5	7	9	32	33																	6
6955		2	2	1	6	1	3	5	8	30	37					5			4			1				1	4	6
6956		2	2	1	4	1	3	26	29							12		4			2					12		4
6959	13602288	3	1	2	5	0	2	5	27	36						8	1	1	2	2						2	6	5
6961	13602284	3	1	2	5	0	0	2	37	39						2	1	1		1	2						2	5
6963	13602280	2	1	3	4	1	3	26	29							12		2	1		1					12		4
6966		2	1	4	10	3	4	5	7	10	11	14	15	36	43	20		2									20	10
6967		7	2	4	10	2	2	7	9	15	17	22	46	48														10
6969	13602279	3	2	5	4	6	35	43								10		1	2	2	6	2				1	9	4
6970	13602289	4	1	5	3	27	31									15	1	1	1							10	5	3
6972		1	1	6	7	1	5	9	11	32	33																	7
6973		4	1	6	5											1										1		5
6975	13602321	4	1	8	4	12	39	40								30	4		2	1	1	2						4
6978	13602283	2	1	9	4	6	37	38								20				1	1	2		1			20	4
6979	13602281	2	1	10	7	2	4	7	13	37	40					2	10	1	2								2	7
